CCLE Cell Line Name,Primary Cell Line Name,Compound,Target,Doses (uM),Activity Data (median),Activity SD,Num Data,FitType,EC50 (uM),IC50 (uM),Amax,ActArea
MB157_BREAST,MB 157,AEW541,IGF1R,".0025,.0080,.025,.080,.25,.80,2.53,8","11.7,3.69,-2.1,40.4,-25,-30,-36,-93","28.2,1.98,41.2,46.3,13.1,8.69,4.12,2.74",8,Linear,NA,0.309648394,-93.10461426,2.379
MCF7_BREAST,MCF7,AEW541,IGF1R,".0025,.0080,.025,.080,.25,.80,2.53,8","3.52,-11,-24,5.55,-16,-55,-121,-143","8.55,17.8,48.1,26.1,21.2,14.8,4.87,5.70",8,Sigmoid,1.059732199,0.716056585,-143.3669891,1.7882
MDAMB157_BREAST,MDA-MB-157,AEW541,IGF1R,".0025,.0080,.025,.080,.25,.80,2.53,8","-11,-.089,-7.7,7.81,-10,3.12,-17,-46","4.58,21.1,9.50,5.22,28.3,7.26,4.77,28.1",8,Sigmoid,2.88415885,8,-45.83102798,0.7972
MDAMB175VII_BREAST,MDA-MB-175-VII,AEW541,IGF1R,".0025,.0080,.025,.080,.25,.80,2.53,8","10.1,10.8,-29,-9.9,-14,-7.5,-32,-23","27.9,1.40,6.99,.44,11.3,1.49,.39,7.64",8,Constant,NA,8,-9.92693615,0.8511
MDAMB415_BREAST,MDA-MB-415,AEW541,IGF1R,".0025,.0080,.025,.080,.25,.80,2.53,8","14.1,-6.3,.44,-3.9,-.96,-17,-27,-56","24.2,19.7,8.06,30.5,24.3,8.85,23.8,36.8",8,Linear,NA,4.382416034,-55.12976456,0.5793
MDAMB436_BREAST,MDA-MB-436,AEW541,IGF1R,".0025,.0080,.025,.080,.25,.80,2.53,8",".97,-8.7,-5.7,-23,-.82,-24,-16,-51","18.0,2.74,5.13,10.2,10.7,6.86,7.89,13.4",8,Sigmoid,8.548909605,8,-49.64480972,1.1129
MDAMB453_BREAST,MDA-MB-453,AEW541,IGF1R,".0025,.0080,.025,.080,.25,.80,2.53,8","-8.0,8.53,.77,-6.4,-18,-20,-27,-73","9.83,11.2,11.4,8.46,1.23,1.14,1.80,3.42",8,Sigmoid,8.747546334,4.530221939,-70.59049225,1.1017
MDAMB468_BREAST,MDA-MB-468,AEW541,IGF1R,".0025,.0080,.025,.080,.25,.80,2.53,8","5.03,-6.4,-3.3,11.8,-29,-30,-40,-84","10.4,4.35,1.42,31.4,14.1,22.1,8.00,.46",8,Sigmoid,9.055180801,2.823380709,-82.10835266,1.9311
SKBR3_BREAST,SK-BR-3,AEW541,IGF1R,".0025,.0080,.025,.080,.25,.80,2.53,8","7.99,5.14,16.9,2.62,-1.6,-15,-16,-38","12.5,17.0,14.7,15.1,23.5,12.3,18.7,2.32",8,Sigmoid,8.079965246,8,-37.26241302,0.7471
T47D_BREAST,T-47D,AEW541,IGF1R,".0025,.0080,.025,.080,.25,.80,2.53,8","14.2,9.50,3.61,-13,-16,-7.2,-35,-35","3.09,14.3,35.1,3.62,7.97,36.3,5.54,8.23",8,Sigmoid,7.437109233,8,-37.26502228,0.924
UACC812_BREAST,UACC-812,AEW541,IGF1R,".0025,.0080,.025,.080,.25,.80,2.53,8","24.5,-.41,22.0,18.6,10.9,-1.6,-18,-44","23.6,16.6,13.6,13.0,11.3,9.22,28.7,13.4",8,Sigmoid,2.238722086,8,-34.91090775,0.3992
ZR751_BREAST,ZR-75-1,AEW541,IGF1R,".0025,.0080,.025,.080,.25,.80,2.53,8","-7.3,80.7,20.5,49.3,-12,29.1,-31,-68","16.1,50.2,10.9,15.2,4.64,53.5,33.6,16.8",8,Linear,NA,0.663455608,-70.91506195,1.2285
ZR7530_BREAST,ZR-75-30,AEW541,IGF1R,".0025,.0080,.025,.080,.25,.80,2.53,8","19.6,12.8,-6.0,-16,-4.1,-9.6,-3.9,.64","22.4,18.9,5.89,20.1,5.49,7.03,12.9,12.6",8,Constant,NA,8,-2.220264196,0.1118
AU565_BREAST,AU565,AZD0530,ABL,".0025,.0080,.025,.080,.25,.80,2.53,8","-11,10.4,-12,-.22,13.3,7.72,-4.2,-15","7.69,3.51,16.2,6.19,29.4,6.78,6.40,18.8",8,Constant,NA,8,-2.102397203,0.2328
BT20_BREAST,BT-20,AZD0530,ABL,".0025,.0080,.025,.080,.25,.80,2.53,8","-23,12.9,-11,19.9,-.11,-1.2,-44,-49",".37,21.4,37.2,21.4,17.7,40.0,19.6,2.10",8,Linear,NA,7.055198202,-50.48358536,1.181
BT474_BREAST,BT-474,AZD0530,ABL,".0025,.0080,.025,.080,.25,.80,2.53,8","-.060,3.97,-24,-6.0,-7.2,4.54,-34,-70","4.38,5.26,7.16,6.65,2.43,26.1,.94,3.78",8,Sigmoid,2.62784934,3.093749285,-69.81137085,0.8074
BT549_BREAST,BT-549,AZD0530,ABL,".0025,.0080,.025,.080,.25,.80,2.53,8","6.81,4.83,12.6,6.92,9.69,-10,-28,-49","3.55,9.09,5.30,6.95,.65,6.40,2.38,10.0",8,Sigmoid,2.042306185,8,-48.55896378,0.8363
