"unified_id"	"native_id"	"alt_id"	"id_type"	"tissue"	"hist_primary"	"hist_secondary"	"match_id"
"RERFLCSQ1_LUNG"	"RERFLCSQ1_LUNG"	"RERF-LC-Sq1"	"CCLE"	"lung"	"carcinoma"	"squamous_cell_carcinoma"	"RERFLCSQ1"
"RERFLCSQ1_LUNG"	"RERF-LC-Sq1"	NA	"cosmic_clp"	"lung"	"carcinoma"	"squamous_cell_carcinoma"	"RERFLCSQ1"
"SALE_LUNG"	"SALE_LUNG"	"SALE"	"CCLE"	"lung"	"other"	"immortalized_epithelial"	"SALE"
"SBC1_LUNG"	"SBC-1"	NA	"cosmic_clp"	"lung"	"carcinoma"	"small_cell_carcinoma"	"SBC1"
"SBC1_LUNG"	"SBC-1"	"713885"	"gdsc"	"lung"	"lung_small_cell_carcinoma"	NA	"SBC1"
"SBC3_LUNG"	"SBC-3"	NA	"cosmic_clp"	"lung"	"carcinoma"	"small_cell_carcinoma"	"SBC3"
"SBC5_LUNG"	"SBC5_LUNG"	"SBC-5"	"CCLE"	"lung"	"carcinoma"	"small_cell_carcinoma"	"SBC5"
"SBC5_LUNG"	"SBC-5"	NA	"cosmic_clp"	"lung"	"carcinoma"	"small_cell_carcinoma"	"SBC5"
"SBC5_LUNG"	"SBC-5"	"713880"	"gdsc"	"lung"	"lung_small_cell_carcinoma"	NA	"SBC5"
"SCLC21H_LUNG"	"SCLC21H_LUNG"	"SCLC-21H"	"CCLE"	"lung"	"carcinoma"	"small_cell_carcinoma"	"SCLC21H"
"SCLC21H_LUNG"	"SCLC-21H"	"753611"	"gdsc"	"lung"	"lung_small_cell_carcinoma"	NA	"SCLC21H"
"SHP77_LUNG"	"SHP77_LUNG"	"SHP-77"	"CCLE"	"lung"	"carcinoma"	"small_cell_carcinoma"	"SHP77"
"SHP77_LUNG"	"SHP-77"	NA	"cosmic_clp"	"lung"	"carcinoma"	"small_cell_carcinoma"	"SHP77"
